# parser/spec/shape.tsv — parser output that canonical rendering omits.
#
# Exactly three tab-separated columns: unique case, escaped source, escaped
# semantic shape. Every column after the case uses the same \n, \t, \\ escape
# notation as parse.tsv. Both runners implement the reader and renderer
# independently.
#
# Positions are 1-based Unicode-code-point columns; 0:0:"" means that a
# structural root was synthesized without an authored token. `e` and `q` are
# Value.Eval and Value.Quoted. Map
# facets, typed-container payloads, and every SugarInfo field are explicit.
top-positions	foo\n  bar baz	values=[v(c="word(foo)",p=1:1:"foo",e=0,q=0,w={name="foo",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="word(bar)",p=2:3:"bar",e=0,q=0,w={name="bar",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="word(baz)",p=2:7:"baz",e=0,q=0,w={name="baz",argc=-1,stack=0,forward=0,ref=0,usurp=0})]
angle-sugar-payloads	Box<Integer> Box<lower> Box<T extends>	values=[v(c="sugar(angle Box [word(Integer)])",p=1:1:"Box",e=0,q=0,sugar={kind="angle",n=0,name="Box",src="",head=v(c="[word(Integer)]",p=0:0:"",e=1,q=0,list=[v(c="word(Integer)",p=1:5:"Integer",e=0,q=0,w={name="Integer",argc=-1,stack=0,forward=0,ref=0,usurp=0})]),headErr="",items=[v(c="word(Integer)",p=1:5:"Integer",e=0,q=0,w={name="Integer",argc=-1,stack=0,forward=0,ref=0,usurp=0})]}),v(c="sugar(angle Box [word(lower)])",p=1:14:"Box",e=0,q=0,sugar={kind="angle",n=0,name="Box",src="",head=none,headErr="[boru/syntax_error]: generic parameter must be a capitalised name\\n  --> 1:18\\n  = write def Name<T> / def Name<T extends Bound> / def Name<T = Default>",items=[v(c="word(lower)",p=1:18:"lower",e=0,q=0,w={name="lower",argc=-1,stack=0,forward=0,ref=0,usurp=0})]}),v(c="sugar(angle Box [word(T) word(extends)])",p=1:25:"Box",e=0,q=0,sugar={kind="angle",n=0,name="Box",src="",head=none,headErr="[boru/syntax_error]: generic parameter T: extends needs a value\\n  --> 1:29",items=[v(c="word(T)",p=1:29:"T",e=0,q=0,w={name="T",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="word(extends)",p=1:31:"extends",e=0,q=0,w={name="extends",argc=-1,stack=0,forward=0,ref=0,usurp=0})]})]
illegal-map-modifier-error	{foo/r: 1}	error(code="illegal_key",detail="word modifier not allowed on map key \"foo/r\" (modifiers qualify values, not keys; quote the key as 'foo/r' for a literal slash)",p=0:0:"",full="",hint="",notes=[],help=[])
root-unclosed-paren-error	(1	error(code="syntax_error",detail="unmatched opening parenthesis",p=0:0:"(",full="(1",hint="",notes=[],help=[])

# Go and JavaScript count non-ASCII source columns differently unless the TS
# port deliberately converts the parser's UTF-16 offsets to the Go contract.
unicode-columns	"🙂" foo	values=[v(c="'🙂'",p=1:1:"\"🙂\"",e=0,q=0),v(c="word(foo)",p=1:5:"foo",e=0,q=0,w={name="foo",argc=-1,stack=0,forward=0,ref=0,usurp=0})]
unicode-mini-error	+re/🙂/ ]	error(code="syntax_error",detail="unexpected `]` — nothing valid can appear here",p=1:8:"]",full="+re/🙂/ ]",hint="",notes=["boru's grammar allows no continuation with `]` at this position"],help=["check for a missing bracket, quote, or value just before it"])
unicode-template-error	`🙂` ]	error(code="syntax_error",detail="unexpected `]` — nothing valid can appear here",p=1:5:"]",full="`🙂` ]",hint="",notes=["boru's grammar allows no continuation with `]` at this position"],help=["check for a missing bracket, quote, or value just before it"])
unicode-xml-error	<a>🙂</a> ]	error(code="syntax_error",detail="unexpected `]` — nothing valid can appear here",p=1:10:"]",full="<a>🙂</a> ]",hint="",notes=["boru's grammar allows no continuation with `]` at this position"],help=["check for a missing bracket, quote, or value just before it"])

# Canon renders a Word constraint and an Atom constraint with the same bare
# type tag. These rows pin the actual opaque Word payload at root and nested
# postfix sites; the prefix spelling is independently pinned in parse.tsv.
postfix-typed-list-word	[a]:a	values=[v(c="[:a [word(a)]]",p=0:0:"",e=0,q=0,typed={kind="list",child=v(c="word(a)",p=1:5:"a",e=0,q=0,w={name="a",argc=-1,stack=0,forward=0,ref=0,usurp=0}),elements=[v(c="[word(a)]",p=1:1:"[",e=1,q=0,list=[v(c="word(a)",p=1:2:"a",e=0,q=0,w={name="a",argc=-1,stack=0,forward=0,ref=0,usurp=0})])],entries=[]})]
postfix-typed-map-word	{a:1}:A	values=[v(c="[:A {a:1}]",p=0:0:"",e=0,q=0,typed={kind="list",child=v(c="word(A)",p=1:7:"A",e=0,q=0,w={name="A",argc=-1,stack=0,forward=0,ref=0,usurp=0}),elements=[v(c="{a:1}",p=1:1:"{",e=1,q=0,map={implicit=0,computed=[],entries=["a"=>v(c="1",p=1:4:"1",e=0,q=0)]})],entries=[]})]
nested-postfix-typed-word	{x:[a]:a}	values=[v(c="{:a x:[word(a)]}",p=0:0:"",e=0,q=0,typed={kind="map",child=v(c="word(a)",p=1:8:"a",e=0,q=0,w={name="a",argc=-1,stack=0,forward=0,ref=0,usurp=0}),elements=[],entries=["x"=>v(c="[word(a)]",p=1:4:"[",e=1,q=0,list=[v(c="word(a)",p=1:5:"a",e=0,q=0,w={name="a",argc=-1,stack=0,forward=0,ref=0,usurp=0})])]})]
